id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
9,APROBADO,III - PERIFERICA,12,3,200.0,589.74,-16.48378,-68.127687,2 - d12,27 DE MAYO,200.0,0,0.0,0.0,0,20.0,16.4,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3,0.7,0,False,True
9,OBSERVADO,II - MAXIMILIANO PAREDES,7,6,275.0,2038.05,-16.494304,-68.145927,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,16,5,378.43,1827.9,-16.484666,-68.097522,3 - d16,VILLA SALOME,420.0,0,0.0,0.0,0,126.5,20.34,0.0,0.0,0.0,0.0,0,0.0,0.0,3,5,0.9,0,False,True
8,APROBADO,IV - SAN ANTONIO,16,4,215.0,603.71,-16.487399,-68.097543,3 - d16,VILLA SALOME,215.0,0,0.0,0.0,0,64.87,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,4,0.23,0,False,True
9,APROBADO,III - PERIFERICA,11,3,211.8,386.15,-16.48954,-68.134211,2 - d11,NORTE,211.8,0,0.0,0.0,0,21.18,5.88,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0.8,0,False,True
8,OBSERVADO,V - SUR,19,3,620.0,0.0,-16.547584,-68.057941,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,APROBADO,II - MAXIMILIANO PAREDES,7,4,119.0,485.47,-16.500389,-68.152561,3 - d7,OBISPO INDABURO,119.0,0,0.0,0.0,0,40.17,8.25,0.0,0.0,0.0,0.0,0,0.0,0.0,1,4,0.45,0,False,True
8,APROBADO,I - COTAHUMA,3,4,300.0,853.87,-16.517065,-68.126297,3F - d3,SOPOCACHI,316.01,0,0.0,0.0,0,95.08,13.82,0.0,0.0,0.0,0.0,2,3.0,0.0,1,4,0.0,0,False,True
8,APROBADO,V - SUR,18,4,300.0,547.19,-16.509225,-68.04847,4PK - d18,ACHUMANI,300.0,0,0.0,0.0,0,108.21,33.29,0.0,0.0,0.0,0.0,3,3.42,0.0,0,4,0.09,0,False,True
9,APROBADO,V - SUR,18,4,1268.67,4155.96,-16.539912,-68.089989,4 - d19,CALACOTO,1268.67,0,890.52,0.0,1,508.68,35.82,0.0,0.0,0.0,0.0,29,3.0,0.0,1,4,0.0,0,False,True
